Module,File Count,Total LOC,Swift Files,Swift LOC,Obj-C Files,Obj-C LOC,C/C++ Files,C/C++ LOC,Header Files,Header LOC,Avg LOC/File,Size Category
ALL MODULES,1261,158298,1214,145037,0,0,0,0,2,14,125,

Tiny (1-5 files),,,,,,,,,,,,
UmbraSecurityCore,4,835,4,835,0,0,0,0,0,0,208,Tiny (1-5 files)
XPC,4,666,4,666,0,0,0,0,0,0,166,Tiny (1-5 files)
UmbraCoreTypes/Sources,4,652,4,652,0,0,0,0,0,0,163,Tiny (1-5 files)
Tests/SecurityImplementationTests,3,603,3,603,0,0,0,0,0,0,201,Tiny (1-5 files)
Tests/KeychainTests,5,601,5,601,0,0,0,0,0,0,120,Tiny (1-5 files)
Tests/ErrorHandlingTests,4,596,4,596,0,0,0,0,0,0,149,Tiny (1-5 files)
UmbraCryptoService,5,502,5,502,0,0,0,0,0,0,100,Tiny (1-5 files)
SecurityCoreAdapters/Sources,4,428,4,428,0,0,0,0,0,0,107,Tiny (1-5 files)
SecurityCoreAdapters,4,428,4,428,0,0,0,0,0,0,107,Tiny (1-5 files)
UmbraBookmarkService,4,382,4,382,0,0,0,0,0,0,95,Tiny (1-5 files)
SecureBytes,3,369,2,362,0,0,0,0,1,7,123,Tiny (1-5 files)
CoreTypesImplementation/Sources,4,312,4,312,0,0,0,0,0,0,78,Tiny (1-5 files)
UmbraSecurityCore/Sources,2,309,2,309,0,0,0,0,0,0,154,Tiny (1-5 files)
SecureString,2,267,2,267,0,0,0,0,0,0,133,Tiny (1-5 files)
SecurityTypeConverters/Sources,3,201,3,201,0,0,0,0,0,0,67,Tiny (1-5 files)
SecurityTypeConverters,3,201,3,201,0,0,0,0,0,0,67,Tiny (1-5 files)
SecureBytes/Sources,1,196,1,196,0,0,0,0,0,0,196,Tiny (1-5 files)
UmbraLoggingAdapters,4,195,4,195,0,0,0,0,0,0,48,Tiny (1-5 files)
UmbraLoggingAdapters/Sources,4,195,4,195,0,0,0,0,0,0,48,Tiny (1-5 files)
Tests/CryptoTests,2,190,2,190,0,0,0,0,0,0,95,Tiny (1-5 files)
CryptoSwiftFoundationIndependent,2,188,2,188,0,0,0,0,0,0,94,Tiny (1-5 files)
CoreServicesTypes,4,187,4,187,0,0,0,0,0,0,46,Tiny (1-5 files)
SecurityBridgeProtocolAdapters,2,183,2,183,0,0,0,0,0,0,91,Tiny (1-5 files)
SecurityBridgeProtocolAdapters/Sources,2,183,2,183,0,0,0,0,0,0,91,Tiny (1-5 files)
SecureString/Sources,1,179,1,179,0,0,0,0,0,0,179,Tiny (1-5 files)
Tests/UmbraSecurityTests,2,166,2,166,0,0,0,0,0,0,83,Tiny (1-5 files)
CoreServicesTypesNoFoundation,4,164,4,164,0,0,0,0,0,0,41,Tiny (1-5 files)
Tests/ResourcesTests,1,155,1,155,0,0,0,0,0,0,155,Tiny (1-5 files)
SecurityUtils,4,153,4,153,0,0,0,0,0,0,38,Tiny (1-5 files)
API,2,139,2,139,0,0,0,0,0,0,69,Tiny (1-5 files)
SecurityInterfacesBase,3,128,3,128,0,0,0,0,0,0,42,Tiny (1-5 files)
Tests/SecurityUtilsTests,2,126,2,126,0,0,0,0,0,0,63,Tiny (1-5 files)
ObjCBridgingTypesFoundation,3,126,3,126,0,0,0,0,0,0,42,Tiny (1-5 files)
Snapshots,2,120,2,120,0,0,0,0,0,0,60,Tiny (1-5 files)
FoundationBridgeTypes,2,110,2,110,0,0,0,0,0,0,55,Tiny (1-5 files)
Tests/XPCTests,2,102,2,102,0,0,0,0,0,0,51,Tiny (1-5 files)
UmbraXPC,1,102,1,102,0,0,0,0,0,0,102,Tiny (1-5 files)
SecurityInterfacesXPC,1,101,1,101,0,0,0,0,0,0,101,Tiny (1-5 files)
Config,2,98,2,98,0,0,0,0,0,0,49,Tiny (1-5 files)
Tests/BookmarkTests,1,94,1,94,0,0,0,0,0,0,94,Tiny (1-5 files)
TestUtils,1,89,1,89,0,0,0,0,0,0,89,Tiny (1-5 files)
Tests/ResticTypesTests,1,80,1,80,0,0,0,0,0,0,80,Tiny (1-5 files)
TestingMacros,1,73,1,73,0,0,0,0,0,0,73,Tiny (1-5 files)
Tests/UmbraTestKitTests,1,72,1,72,0,0,0,0,0,0,72,Tiny (1-5 files)
Tests/CryptoTypesTests,1,66,1,66,0,0,0,0,0,0,66,Tiny (1-5 files)
Testing,1,57,1,57,0,0,0,0,0,0,57,Tiny (1-5 files)
Tests/LoggingTests,1,56,1,56,0,0,0,0,0,0,56,Tiny (1-5 files)
Tests/ModelsTests,1,55,1,55,0,0,0,0,0,0,55,Tiny (1-5 files)
SecurityInterfacesProtocols,1,45,1,45,0,0,0,0,0,0,45,Tiny (1-5 files)
Tests/UmbraXPCTests,1,22,1,22,0,0,0,0,0,0,22,Tiny (1-5 files)
UmbraCore,1,13,1,13,0,0,0,0,0,0,13,Tiny (1-5 files)
ServiceTypes,1,13,1,13,0,0,0,0,0,0,13,Tiny (1-5 files)
Autocomplete,2,10,2,10,0,0,0,0,0,0,5,Tiny (1-5 files)
Tests/UmbraCoreTests,1,9,1,9,0,0,0,0,0,0,9,Tiny (1-5 files)
Tests/SecurityInterfacesTest,1,9,1,9,0,0,0,0,0,0,9,Tiny (1-5 files)
SecurityInterfacesFoundation,1,6,1,6,0,0,0,0,0,0,6,Tiny (1-5 files)
ObjCBridgingTypes,1,6,1,6,0,0,0,0,0,0,6,Tiny (1-5 files)
UmbraCrypto,1,5,1,5,0,0,0,0,0,0,5,Tiny (1-5 files)
CryptoServiceProtocol,1,5,1,5,0,0,0,0,0,0,5,Tiny (1-5 files)
Tests/TestSupport,1,1,1,1,0,0,0,0,0,0,1,Tiny (1-5 files)
UmbraMocks,1,1,1,1,0,0,0,0,0,0,1,Tiny (1-5 files)

Small (6-10 files),,,,,,,,,,,,
UmbraCoreTypes,10,1410,10,1410,0,0,0,0,0,0,141,Small (6-10 files)
UmbraErrors,10,1303,10,1303,0,0,0,0,0,0,130,Small (6-10 files)
UmbraKeychainService,7,1275,7,1275,0,0,0,0,0,0,182,Small (6-10 files)
SecurityInterfaces,10,1171,10,1171,0,0,0,0,0,0,117,Small (6-10 files)
Tests/ResticCLIHelperTests,10,1148,10,1148,0,0,0,0,0,0,114,Small (6-10 files)
Tests/CoreTests,6,831,6,831,0,0,0,0,0,0,138,Small (6-10 files)
Features,10,825,10,825,0,0,0,0,0,0,82,Small (6-10 files)
Services,9,642,9,642,0,0,0,0,0,0,71,Small (6-10 files)
CoreErrors,10,614,10,614,0,0,0,0,0,0,61,Small (6-10 files)
CoreTypesImplementation,7,569,7,569,0,0,0,0,0,0,81,Small (6-10 files)
ResticTypes,7,454,7,454,0,0,0,0,0,0,64,Small (6-10 files)
CoreTypesInterfaces,8,421,8,421,0,0,0,0,0,0,52,Small (6-10 files)
Resources,6,384,6,384,0,0,0,0,0,0,64,Small (6-10 files)
CoreTypesInterfaces/Sources,6,276,6,276,0,0,0,0,0,0,46,Small (6-10 files)
SecurityTypes,6,184,6,184,0,0,0,0,0,0,30,Small (6-10 files)

Medium (11-20 files),,,,,,,,,,,,
XPCProtocolsCore,15,3432,15,3432,0,0,0,0,0,0,228,Medium (11-20 files)
SecurityBridge/Sources,16,3227,16,3227,0,0,0,0,0,0,201,Medium (11-20 files)
XPCProtocolsCore/Sources,11,2304,11,2304,0,0,0,0,0,0,209,Medium (11-20 files)
Repositories,16,1835,16,1835,0,0,0,0,0,0,114,Medium (11-20 files)
UmbraSecurity,12,1213,12,1213,0,0,0,0,0,0,101,Medium (11-20 files)
SecurityProtocolsCore,13,1014,13,1014,0,0,0,0,0,0,78,Medium (11-20 files)
SecurityProtocolsCore/Sources,12,919,12,919,0,0,0,0,0,0,76,Medium (11-20 files)
CryptoTypes,12,537,12,537,0,0,0,0,0,0,44,Medium (11-20 files)
UmbraLogging,20,356,20,356,0,0,0,0,0,0,17,Medium (11-20 files)

Large (21-50 files),,,,,,,,,,,,
SecurityBridge,27,6375,27,6375,0,0,0,0,0,0,236,Large (21-50 files)
SecurityImplementation,30,6297,30,6297,0,0,0,0,0,0,209,Large (21-50 files)
SecurityImplementation/Sources,29,5576,29,5576,0,0,0,0,0,0,192,Large (21-50 files)
Tests/UmbraTestKit,27,3648,27,3648,0,0,0,0,0,0,135,Large (21-50 files)
ResticCLIHelper,28,2559,28,2559,0,0,0,0,0,0,91,Large (21-50 files)
Core,21,2068,21,2068,0,0,0,0,0,0,98,Large (21-50 files)

X-Large (51-100 files),,,,,,,,,,,,
ErrorHandling,95,14515,95,14515,0,0,0,0,0,0,152,X-Large (51-100 files)

XX-Large (100+ files),,,,,,,,,,,,
UmbraCore,621,79291,575,66037,0,0,0,0,1,7,127,XX-Large (100+ files)

